SERVICE,CONTAINER_NAME,NAMESPACE,SIZE
user-action,wsk0-63-guest-latencytest-java,openwhisk,14.71MiB
POD,wsk0-63-guest-latencytest-java,openwhisk,704KiB
user-action,wsk0-62-guest-latencytest-java,openwhisk,15.08MiB
POD,wsk0-62-guest-latencytest-java,openwhisk,732KiB
user-action,wsk0-61-guest-latencytest-java,openwhisk,15.22MiB
POD,wsk0-61-guest-latencytest-java,openwhisk,680KiB
user-action,wsk0-60-guest-latencytest-java,openwhisk,15.47MiB
POD,wsk0-60-guest-latencytest-java,openwhisk,656KiB
user-action,wsk0-59-guest-latencytest-java,openwhisk,15.22MiB
POD,wsk0-59-guest-latencytest-java,openwhisk,912KiB
user-action,wsk0-58-guest-latencytest-java,openwhisk,15.93MiB
POD,wsk0-58-guest-latencytest-java,openwhisk,752KiB
user-action,wsk0-57-guest-latencytest-java,openwhisk,15.58MiB
POD,wsk0-57-guest-latencytest-java,openwhisk,700KiB
user-action,wsk0-56-guest-latencytest-java,openwhisk,15.25MiB
POD,wsk0-56-guest-latencytest-java,openwhisk,772KiB
kafkaprovider,owdev-kafkaprovider-6d8c79dfb8-mnxfz,openwhisk,30.09MiB
cloudantprovider,owdev-cloudantprovider-858dbb4597-d7759,openwhisk,35.83MiB
alarmprovider,owdev-alarmprovider-5c4c558499-wbbth,openwhisk,35.39MiB
controller,owdev-controller-0,openwhisk,648.7MiB
redis,owdev-redis-759bb66d89-tzlrl,openwhisk,2.105MiB
couchdb,owdev-couchdb-7fb49554d-4828g,openwhisk,94.47MiB
POD,owdev-redis-759bb66d89-tzlrl,openwhisk,824KiB
POD,owdev-couchdb-7fb49554d-4828g,openwhisk,904KiB
POD,owdev-alarmprovider-5c4c558499-wbbth,openwhisk,764KiB
POD,owdev-cloudantprovider-858dbb4597-d7759,openwhisk,876KiB
nginx,owdev-nginx-7b9cc968c7-ptz8m,openwhisk,4.953MiB
apigateway,owdev-apigateway-575fd8559d-thzwg,openwhisk,38.62MiB
wskadmin,owdev-wskadmin,openwhisk,864KiB
POD,owdev-nginx-7b9cc968c7-ptz8m,openwhisk,772KiB
POD,owdev-controller-0,openwhisk,828KiB
POD,owdev-apigateway-575fd8559d-thzwg,openwhisk,688KiB
POD,owdev-kafkaprovider-6d8c79dfb8-mnxfz,openwhisk,832KiB
POD,owdev-wskadmin,openwhisk,816KiB
dashboard-metrics-scraper,dashboard-metrics-scraper-7b64584c5c-5lrnq,kubernetes-dashboard,5.391MiB
kubernetes-dashboard,kubernetes-dashboard-79d9cd965-l2qcg,kubernetes-dashboard,10.62MiB
storage-provisioner,storage-provisioner,kube-system,16.27MiB
POD,kubernetes-dashboard-79d9cd965-l2qcg,kubernetes-dashboard,708KiB
POD,dashboard-metrics-scraper-7b64584c5c-5lrnq,kubernetes-dashboard,888KiB
POD,storage-provisioner,kube-system,760KiB
coredns,coredns-6955765f44-ts2x6,kube-system,9.117MiB
coredns,coredns-6955765f44-f9rcx,kube-system,8.863MiB
POD,coredns-6955765f44-ts2x6,kube-system,784KiB
POD,coredns-6955765f44-f9rcx,kube-system,872KiB
kube-proxy,kube-proxy-g5b97,kube-system,10.43MiB
POD,kube-proxy-g5b97,kube-system,696KiB
etcd,etcd-minikube,kube-system,45.07MiB
kube-apiserver,kube-apiserver-minikube,kube-system,288.3MiB
kube-scheduler,kube-scheduler-minikube,kube-system,15.05MiB
kube-addon-manager,kube-addon-manager-minikube,kube-system,46.41MiB
kube-controller-manager,kube-controller-manager-minikube,kube-system,40.72MiB
POD,etcd-minikube,kube-system,812KiB
POD,kube-apiserver-minikube,kube-system,780KiB
POD,kube-addon-manager-minikube,kube-system,708KiB
POD,kube-scheduler-minikube,kube-system,808KiB
POD,kube-controller-manager-minikube,kube-system,752KiB
