SERVICE,CONTAINER_NAME,NAMESPACE,SIZE
invoker,owdev-invoker-0,openwhisk,365.3MiB
cloudantprovider,owdev-cloudantprovider-858dbb4597-zxgrd,openwhisk,35.6MiB
alarmprovider,owdev-alarmprovider-5c4c558499-hcdx6,openwhisk,35.85MiB
kafkaprovider,owdev-kafkaprovider-6d8c79dfb8-plk9h,openwhisk,29.53MiB
controller,owdev-controller-0,openwhisk,606.9MiB
kafka,owdev-kafka-0,openwhisk,377.4MiB
redis,owdev-redis-759bb66d89-x5sqh,openwhisk,2.309MiB
nginx,owdev-nginx-7b9cc968c7-w4vdr,openwhisk,4.738MiB
couchdb,owdev-couchdb-7fb49554d-287jb,openwhisk,88.13MiB
zookeeper,owdev-zookeeper-0,openwhisk,61.23MiB
POD,owdev-nginx-7b9cc968c7-w4vdr,openwhisk,988KiB
apigateway,owdev-apigateway-575fd8559d-thn4z,openwhisk,37.97MiB
wskadmin,owdev-wskadmin,openwhisk,780KiB
POD,owdev-redis-759bb66d89-x5sqh,openwhisk,740KiB
POD,owdev-alarmprovider-5c4c558499-hcdx6,openwhisk,872KiB
POD,owdev-couchdb-7fb49554d-287jb,openwhisk,704KiB
POD,owdev-zookeeper-0,openwhisk,784KiB
POD,owdev-cloudantprovider-858dbb4597-zxgrd,openwhisk,840KiB
POD,owdev-kafka-0,openwhisk,808KiB
POD,owdev-invoker-0,openwhisk,820KiB
POD,owdev-controller-0,openwhisk,804KiB
POD,owdev-apigateway-575fd8559d-thn4z,openwhisk,744KiB
POD,owdev-kafkaprovider-6d8c79dfb8-plk9h,openwhisk,816KiB
POD,owdev-wskadmin,openwhisk,660KiB
dashboard-metrics-scraper,dashboard-metrics-scraper-7b64584c5c-mvtcw,kubernetes-dashboard,5.02MiB
kubernetes-dashboard,kubernetes-dashboard-79d9cd965-tftvn,kubernetes-dashboard,10.91MiB
storage-provisioner,storage-provisioner,kube-system,16.82MiB
POD,storage-provisioner,kube-system,636KiB
POD,kubernetes-dashboard-79d9cd965-tftvn,kubernetes-dashboard,892KiB
POD,dashboard-metrics-scraper-7b64584c5c-mvtcw,kubernetes-dashboard,812KiB
coredns,coredns-6955765f44-vnwb5,kube-system,9.055MiB
coredns,coredns-6955765f44-ttp5c,kube-system,9.492MiB
POD,coredns-6955765f44-vnwb5,kube-system,816KiB
POD,coredns-6955765f44-ttp5c,kube-system,768KiB
kube-proxy,kube-proxy-w9mzs,kube-system,10.59MiB
POD,kube-proxy-w9mzs,kube-system,752KiB
etcd,etcd-minikube,kube-system,46.25MiB
kube-addon-manager,kube-addon-manager-minikube,kube-system,57.16MiB
kube-scheduler,kube-scheduler-minikube,kube-system,15.96MiB
kube-controller-manager,kube-controller-manager-minikube,kube-system,40.7MiB
kube-apiserver,kube-apiserver-minikube,kube-system,291MiB
POD,kube-scheduler-minikube,kube-system,688KiB
POD,etcd-minikube,kube-system,708KiB
POD,kube-addon-manager-minikube,kube-system,652KiB
POD,kube-controller-manager-minikube,kube-system,768KiB
POD,kube-apiserver-minikube,kube-system,792KiB
